player,no,matchTime,team,round,tacklesMade,tacklesMiss,tacklesPenalty,tacklesFirst,tacklesAssists,tacklesFirstPerc,tacklesMadePerc,contestDom,contestNeut,contestPass,contestDNPerc,rucksEff,rucksInEff,rucksInvolvement,rucksTOForced,LOSteals,TOForced,PFAtt,PFDef,PFTot
"Kebe, N",21,1,Kings ,7,4,,,3,1,100,100,,2,2,50,,,,,,,,,
"Botha, T",3,1,Kings ,7,3,,,3,,100,100,,3,,100,,1,1,,,,,,1
"Ferreira, M",16,1,Kings ,7,3,1,,2,1,66.7,75,1,2,1,75,1,,1,1,,1,,,
"Marutlulle, E",2,1,Kings ,7,3,3,,3,,50,50,,3,3,50,2,1,3,,,,,,
"Sithole, S",1,1,Kings ,7,3,1,,2,1,66.7,75,,3,1,75,1,2,3,,,,,,
"Ackerman, J",18,1,Kings ,7,2,,,2,,100,100,,2,,100,,,,,,,,,
"Oelofse, S",19,1,Kings ,7,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Plessis, J",22,1,Kings ,7,2,,,,2,,100,1,,1,50,,,,1,,1,,,
"Tonder, J",23,1,Kings ,7,,1,,,,,,,,1,,,,,,,,,,
"Ferreira, A",4,1,Lions ,7,15,,,10,5,100,100,,13,2,86.7,,4,4,,1,1,,,
"Whiteley, W",8,1,Lions ,7,14,1,1,8,6,88.9,87.5,1,6,9,43.8,1,4,5,1,,1,,,1
"Marx, MJ",2,1,Lions ,7,13,2,,8,5,80,86.7,1,6,8,46.7,,3,3,,,,,,
"Mapoe, L",13,1,Lions ,7,12,,1,7,5,100,92.3,1,7,5,61.5,,3,3,1,,1,,,1
"Mostert, F",5,1,Lions ,7,11,2,,6,5,75,84.6,1,6,6,53.8,,,,,,,,,1
"Redelinghuys, J",3,1,Lions ,7,11,2,,9,2,81.8,84.6,1,8,4,69.2,2,,2,1,,1,,,
"Smith, D",1,1,Lions ,7,8,1,,5,3,83.3,88.9,,6,3,66.7,1,,1,,,,,,
"Kriel, J",6,1,Lions ,7,7,,1,3,4,100,87.5,,5,3,62.5,1,5,6,,,,,,1
"van der Walt, J",15,1,Lions ,7,7,,,5,2,100,100,1,3,3,57.1,,,,1,,1,,,
"Combrinck, R",14,1,Lions ,7,6,4,,6,,60,60,,2,8,20,,,,,,,,,
"Mnisi, H",22,1,Lions ,7,6,,,2,4,100,100,1,4,1,83.3,,1,1,1,,1,,,
"Rensburg, R",12,1,Lions ,7,5,2,,3,2,60,71.4,1,3,3,57.1,,,,1,,1,,,
"Tecklenburg, W",7,1,Lions ,7,5,1,,3,2,75,83.3,1,3,2,66.7,1,2,3,1,,1,,,
"Brink, C",20,1,Lions ,7,4,,,3,1,100,100,1,3,,100,,5,5,1,,1,,,
"Dreyer, R",18,1,Lions ,7,4,,,4,,100,100,,4,,100,,,,,,,,,
"Fourie, C",17,1,Lions ,7,4,2,,3,1,60,66.7,1,2,3,50,,1,1,,,,,,
"Jantjies, E",10,1,Lions ,7,4,1,,2,2,66.7,80,1,3,1,80,,1,1,,,,,,
"Skosan, C",11,1,Lions ,7,4,,,4,,100,100,1,3,,100,,,,,,,,,
"Ackermann, R",19,1,Lions ,7,3,,,1,2,100,100,,3,,100,1,,1,,,,,,
"Klerk, F",21,1,Lions ,7,3,1,,2,1,66.7,75,1,2,1,75,1,,1,1,,1,,,
"Cronje, R",9,1,Lions ,7,2,1,,2,,66.7,66.7,,2,1,66.7,,1,1,,,,,,
"van der Merwe, A",16,1,Lions ,7,2,,,2,,100,100,1,,1,50,1,1,2,2,,2,,,
"Coetzee, A",23,1,Lions ,7,1,,,1,,100,100,,,1,,,1,1,,,,,,
"Gill, L",7,0.98,Reds ,7,13,,,11,2,100,100,3,6,4,69.2,8,2,10,1,,1,,,3
"Fainga'a, A",12,1,Reds ,7,10,3,,7,3,70,76.9,,4,9,30.8,3,,3,,,,,,
"McIntyre, J",10,0.82,Reds ,7,9,1,,9,,90,90,1,4,5,50,,1,1,,,,,,
"Ready, A",2,0.8,Reds ,7,8,1,,7,1,87.5,88.9,1,4,4,55.6,3,4,7,2,,2,,,
"Feauai-Sautia, C",14,1,Reds ,7,7,,,4,3,100,100,1,3,3,57.1,,,,,,,,,
"Tui, H",6,1,Reds ,7,7,,,6,1,100,100,,5,2,71.4,2,2,4,,,,,,
"Simmons, R",5,0.42,Reds ,7,6,,,5,1,100,100,,4,2,66.7,,1,1,,,,,,
"Frisby, N",9,1,Reds ,7,6,2,,5,1,71.4,75,,1,7,12.5,1,,1,,,,,,
"Nabuli, E",11,1,Reds ,7,6,1,1,6,,85.7,75,1,3,4,50,,,,1,,1,,,1
"Neville, C",4,1,Reds ,7,6,3,,5,1,62.5,66.7,1,4,4,55.6,10,3,13,1,,1,,,
"Schatz, J",8,1,Reds ,7,6,,,6,,100,100,2,4,,100,3,1,4,1,2,3,,,
"Goromaru, A",23,0.2,Reds ,7,5,1,,4,1,80,83.3,2,2,2,66.7,,,,,,,,,
"Matwijow, B",19,0.58,Reds ,7,5,1,1,3,2,75,71.4,,3,4,42.9,1,,1,,,,,,1
"Kerevi, S",13,1,Reds ,7,5,1,,4,1,80,83.3,,1,5,16.7,2,,2,1,,1,,,
"Holmes, G",3,0.86,Reds ,7,4,2,,2,2,50,66.7,,4,2,66.7,1,,1,,,,,,
"Slipper, J",1,0.8,Reds ,7,3,1,,2,1,66.7,75,,2,2,50,,4,4,,,,,,1
"Fainga'a, S",16,0.2,Reds ,7,2,1,,1,1,50,66.7,,1,2,33.3,4,,4,,,,,,
"Hunt, K",15,0.8,Reds ,7,2,1,,2,,66.7,66.7,,2,1,66.7,,,,,,,,,
"Greene, S",22,0.18,Reds ,7,1,,,1,,100,100,,,1,,,,,,,,,,
"Faagase, S",17,0.2,Reds ,7,1,1,,1,,50,50,1,,1,50,,,,,,,,,1
"Jordaan, P",13,1,Sharks ,7,15,1,,12,3,92.3,93.8,2,11,3,81.3,1,3,4,1,,1,,,1
"Andrews, H",5,1,Sharks ,7,13,2,,12,1,85.7,86.7,,10,5,66.7,,2,2,,1,1,,,1
"Preez, J",7,1,Sharks ,7,12,1,,10,2,90.9,92.3,1,9,3,76.9,2,3,5,,,,,,
"Esterhuizen, A",12,1,Sharks ,7,11,3,,8,3,72.7,78.6,2,7,5,64.3,2,2,4,,,,,,1
"Oosthuizen, E",4,1,Sharks ,7,8,,,5,3,100,100,1,5,2,75,1,7,8,1,,1,,,1
"Pietersen, J",10,1,Sharks ,7,8,4,,6,2,60,66.7,,6,6,50,,,,,,,,,
"Marais, F",2,1,Sharks ,7,6,,,5,1,100,100,,6,,100,,4,4,1,,1,,,
"Reinach, J",9,1,Sharks ,7,6,,,3,3,100,100,2,3,1,83.3,,,,1,,1,,,
"Adriaanse, L",18,1,Sharks ,7,5,1,,3,2,75,83.3,,5,1,83.3,,4,4,,,,,,
"Preez, D",8,1,Sharks ,7,5,1,,2,3,66.7,83.3,,1,5,16.7,1,1,2,,,,,,
"Daniel, K",20,1,Sharks ,7,4,1,1,1,3,50,66.7,1,3,2,66.7,2,4,6,2,,2,,,1
"Mtawarira, T",1,1,Sharks ,7,4,1,,2,2,66.7,80,,2,3,40,,4,4,,,,,,2
"Pietersen, J",14,1,Sharks ,7,3,2,1,2,1,50,50,1,2,3,50,1,1,2,1,,1,,,1
"Roux, W",15,1,Sharks ,7,3,,,2,1,100,100,1,,2,33.3,,,,1,,1,,,
"Claassens, M",21,1,Sharks ,7,2,,,2,,100,100,,,2,,,1,1,,,,,,
"Coetzee, M",6,1,Sharks ,7,2,,,2,,100,100,,,2,,1,2,3,1,,1,,,
"Cooper, K",16,1,Sharks ,7,2,,,1,1,100,100,,2,,100,1,2,3,,,,,,
"Mtyanda, L",19,1,Sharks ,7,2,1,,1,1,50,66.7,1,1,1,66.7,,,,,,,,,
"Oosthuizen, C",3,1,Sharks ,7,2,1,,1,1,50,66.7,,,3,,2,,2,,,,,,2
"Schoeman, J",17,1,Sharks ,7,2,,,1,1,100,100,,1,1,50,,2,2,,,,,,
"April, G",22,1,Sharks ,7,1,,,1,,100,100,,,1,,,1,1,,,,,,
"Mvovo, L",11,1,Sharks ,7,1,,,1,,100,100,,1,,100,,1,1,,,,,,1
"Toit, P",5,1,Stormers ,7,14,6,1,11,3,64.7,66.7,,11,10,52.4,1,3,4,,1,1,,,1
"Notshe, S",6,1,Stormers ,7,13,3,,12,1,80,81.3,,10,6,62.5,1,1,2,1,,1,,,2
"Plessis, J",10,1,Stormers ,7,12,4,,8,4,66.7,75,1,9,6,62.5,,2,2,2,,2,,,
"Kolisi, S",7,1,Stormers ,7,11,2,,8,3,80,84.6,2,7,4,69.2,2,6,8,1,,1,,,
"Burger, S",8,1,Stormers ,7,10,,,7,3,100,100,,10,,100,,2,2,,,,,,
"Jongh, J",12,1,Stormers ,7,10,1,,6,4,85.7,90.9,1,6,4,63.6,,1,1,,,,,,
"Koch, V",3,1,Stormers ,7,10,3,,8,2,72.7,76.9,1,6,6,53.8,2,4,6,,,,,,
"Schreuder, L",9,1,Stormers ,7,9,2,,9,,81.8,81.8,1,4,6,45.5,,1,1,,,,,,1
"Kebble, O",1,1,Stormers ,7,8,1,,6,2,85.7,88.9,1,5,3,66.7,2,,2,1,,1,,,
"Mbonami, M",16,1,Stormers ,7,7,,,5,2,100,100,,6,1,85.7,1,1,2,,,,,,
"Ntubeni, S",2,1,Stormers ,7,7,,,6,1,100,100,,5,2,71.4,1,1,2,,,,,,
"Elstedt, R",19,1,Stormers ,7,6,,,4,2,100,100,,5,1,83.3,1,,1,,,,,,2
"Carr, N",20,1,Stormers ,7,5,1,,2,3,66.7,83.3,,4,2,66.7,2,1,3,1,,1,,,
"De Allende, D",23,1,Stormers ,7,4,1,,4,,80,80,,3,2,60,,1,1,,,,,,1
"Kolbe, C",15,1,Stormers ,7,4,2,,4,,66.7,66.7,1,1,4,33.3,,,,1,,1,,,
"Malherbe, F",18,1,Stormers ,7,4,,,3,1,100,100,,3,1,75,1,,1,1,,1,,,
"Schickerling, J",4,1,Stormers ,7,4,,,4,,100,100,1,2,1,75,,,,,,,,,
"Van Wyk, J",14,1,Stormers ,7,4,,,3,1,100,100,,1,3,25,,3,3,,,,,,1
"Kotze, J",13,1,Stormers ,7,3,2,,3,,60,60,,3,2,60,1,1,2,,,,,,
"Rensburg, J",17,1,Stormers ,7,2,,,,2,,100,,2,,100,,,,,,,,,
"Jones, H",22,1,Stormers ,7,1,,,1,,100,100,,1,,100,,,,,,,,,
"Masimla, G",21,1,Stormers ,7,1,,,1,,100,100,,1,,100,,,,,,,,,
"Zas, L",11,1,Stormers ,7,1,2,,1,,33.3,33.3,,,3,,,,,,,,,,
"Carpenter, D",12,1,Sunwolves ,7,12,2,,10,2,83.3,85.7,1,7,6,57.1,,,,,,,,,
"Quirk, E",7,1,Sunwolves ,7,10,2,,8,2,80,83.3,1,6,5,58.3,2,5,7,2,,2,,,
"Makabe, S",4,1,Sunwolves ,7,9,4,,7,2,63.6,69.2,,6,7,46.2,1,1,2,,,,,,1
"Moli, L",6,1,Sunwolves ,7,9,,,5,4,100,100,,6,3,66.7,,3,3,,,,,,
"Leonardi, T",8,1,Sunwolves ,7,8,2,1,6,2,75,72.7,1,5,5,54.5,1,1,2,,,,,,1
"Lolohea, V",14,1,Sunwolves ,7,6,1,1,6,,85.7,75,,3,5,37.5,,,,,,,,,1
"Yatomi, Y",9,1,Sunwolves ,7,6,2,,6,,75,75,,,8,,,,,,,,,,
"Bond, T",5,1,Sunwolves ,7,5,2,2,3,2,60,55.6,1,1,7,22.2,,2,2,1,,1,,,4
"Yamada, A",11,1,Sunwolves ,7,5,,,5,,100,100,1,1,3,40,,1,1,,,,,,
"Durutalo, A",20,1,Sunwolves ,7,4,2,,4,,66.7,66.7,,2,4,33.3,1,,1,,,,,,
"Kizu, T",16,1,Sunwolves ,7,4,,,4,,100,100,1,2,1,75,,,,,,,,,
"Mikami, M",1,1,Sunwolves ,7,4,3,,3,1,50,57.1,1,3,3,57.1,,1,1,,,,,,
"Paea, M",13,1,Sunwolves ,7,4,1,,2,2,66.7,80,,,5,,,1,1,,,,,,
"Asahara, T",3,1,Sunwolves ,7,3,2,,3,,60,60,,,5,,,,,,,,,,1
"Horie, S",2,1,Sunwolves ,7,3,1,,3,,75,75,,,4,,,3,3,,,,,,
"Hosoda, Y",19,1,Sunwolves ,7,2,,,1,1,100,100,1,1,,100,,1,1,1,,1,,,
"Tamura, Y",10,1,Sunwolves ,7,2,3,,2,,40,40,,2,3,40,,,,,,,,,
"Hiwasa, A",21,1,Sunwolves ,7,1,,,1,,100,100,,,1,,,,,,,,,,
"Kakinaga, S",18,1,Sunwolves ,7,1,,,1,,100,100,,1,,100,1,,1,1,,1,,,
"Sasakura, Y",23,1,Sunwolves ,7,1,1,,1,,50,50,,,2,,,,,,,,,,
"Viljoen, R",15,1,Sunwolves ,7,1,2,,1,,33.3,33.3,,1,2,33.3,,1,1,,,,,,
"Gu, Z",17,1,Sunwolves ,7,,1,,,,,,,,1,,,,,,,,,,
"Kaino, J",6,1,Blues ,8,10,1,,8,2,88.9,90.9,1,8,2,81.8,,2,2,1,,1,,,
"Bekhuis, J",5,1,Blues ,8,9,1,,7,2,87.5,90,,6,4,60,,3,3,,,,,,
"Faumuina, C",3,0.71,Blues ,8,8,,,4,4,100,100,1,6,1,87.5,1,2,3,1,,1,,,1
"Li, T",11,0.9,Blues ,8,6,,,6,,100,100,,5,1,83.3,,1,1,,,,,,
"Prattley, S",1,0.9,Blues ,8,6,,,4,2,100,100,1,3,2,66.7,,1,1,1,,1,,,1
"Latimer, T",7,0.8,Blues ,8,5,,,4,1,100,100,,,5,,1,2,3,1,,1,,,
"Francis, P",12,1,Blues ,8,5,,,3,2,100,100,,3,2,60,,,,,,,,,
"Matenga, H",4,0.6,Blues ,8,4,1,,4,,80,80,,4,1,80,,2,2,,,,,,
"MacDonald, Q",16,0.29,Blues ,8,3,,,1,2,100,100,,3,,100,,3,3,,,,,,
"Ioane, R",14,1,Blues ,8,3,,,2,1,100,100,,2,1,66.7,,1,1,,,,,,
"Luatua, S",8,1,Blues ,8,3,2,,3,,60,60,,2,3,40,,2,2,,2,2,,,1
"Guyton, B",21,0.2,Blues ,8,2,,,2,,100,100,,1,1,50,,1,1,,,,,,
"Pryor, K",20,0.2,Blues ,8,2,,,2,,100,100,,2,,100,,2,2,,,,,,
"Ranger, R",13,0.4,Blues ,8,2,,,1,1,100,100,,,2,,,,,,,,,,
"Moala, G",23,0.6,Blues ,8,2,,,1,1,100,100,,1,1,50,,2,2,,,,,,
"Parsons, J",2,0.71,Blues ,8,2,1,,1,1,50,66.7,,1,2,33.3,1,1,2,1,,1,,,
"Hall, B",9,0.8,Blues ,8,2,1,,1,1,50,66.7,,1,2,33.3,,,,,,,,,
"Visinia, L",15,1,Blues ,8,2,2,,1,1,33.3,50,,,4,,,,,,,,,,
"Tu'ungafasi, O",18,0.29,Blues ,8,1,,,1,,100,100,,1,,100,,,,,,,,,
"Ioane, A",19,0.4,Blues ,8,1,,,,1,,100,,,1,,,2,2,,1,1,,,
"West, I",10,1,Blues ,8,1,1,,1,,50,50,,,2,,,,,,,,,,1
"McGahan, M",22,0.1,Blues ,8,,,,,,,,,,,,,1,1,,,,,,
"Fardy, S",6,1,Brumbies ,8,13,1,1,12,1,92.3,86.7,,8,7,53.3,6,3,9,,1,1,,,1
"Butler, J",7,1,Brumbies ,8,12,1,,10,2,90.9,92.3,1,6,6,53.8,5,2,7,1,,1,,,1
"Kuridrani, T",13,1,Brumbies ,8,11,2,1,11,,84.6,78.6,,6,8,42.9,5,1,6,,,,,,2
"Carter, S",5,1,Brumbies ,8,10,2,1,7,3,77.8,76.9,1,7,5,61.5,1,2,3,,,,,,3
"Makin, L",18,0.43,Brumbies ,8,9,,,6,3,100,100,4,4,1,88.9,4,,4,1,,1,,,
"Tomane, J",11,1,Brumbies ,8,8,3,,8,,72.7,72.7,,4,7,36.4,1,,1,,,,,,
"Smiler, J",8,0.66,Brumbies ,8,7,1,,4,3,80,87.5,,7,1,87.5,,2,2,,,,,,
"Moore, S",2,0.73,Brumbies ,8,7,1,,6,1,85.7,87.5,,6,2,75,1,1,2,,,,,,
"Lealiifano, C",10,1,Brumbies ,8,7,2,,6,1,75,77.8,,4,5,44.4,4,1,5,,,,,,
"Mann-Rea, J",16,0.27,Brumbies ,8,6,,1,4,2,100,85.7,,4,3,57.1,3,1,4,1,,1,,,2
"Staniforth, T",19,0.34,Brumbies ,8,6,1,,5,1,83.3,85.7,1,1,5,28.6,3,,3,,,,,,
"Alexander, B",3,0.57,Brumbies ,8,6,3,,5,1,62.5,66.7,1,4,4,55.6,,,,,,,,,
"Cubelli, T",9,1,Brumbies ,8,6,1,,5,1,83.3,85.7,,4,3,57.1,3,1,4,,,,,,
"Arnold, R",4,0.66,Brumbies ,8,5,1,,4,1,80,83.3,1,3,2,66.7,,1,1,1,1,2,,,1
"Toomua, M",12,1,Brumbies ,8,5,,,5,,100,100,,4,1,80,4,2,6,1,,1,,,
"Wells, M",20,0.34,Brumbies ,8,3,3,,3,,50,50,1,,5,16.7,6,,6,,,,,,
"Coleman, R",14,1,Brumbies ,8,3,,,3,,100,100,1,,2,33.3,1,3,4,1,,1,,,2
"Sio, S",1,0.66,Brumbies ,8,2,,,2,,100,100,,2,,100,,1,1,,,,,,
"Toua, A",15,1,Brumbies ,8,2,2,,2,,50,50,,1,3,25,,,,,,,,,
"Alaalatoa, A",17,0.34,Brumbies ,8,1,,,1,,100,100,,1,,100,2,,2,,,,,,
"Kirsten, J",7,1,Bulls ,8,12,,1,11,1,100,92.3,4,6,3,76.9,1,1,2,1,,1,,,1
"Labuschagne, P.H.C",6,1,Bulls ,8,11,1,,11,,91.7,91.7,1,8,3,75,4,1,5,,,,,,
"Serfontein, J",12,1,Bulls ,8,9,1,,6,3,85.7,90,,4,6,40,2,,2,,,,,,
"Ismaiel, T",14,1,Bulls ,8,7,1,,6,1,85.7,87.5,1,3,4,50,3,1,4,1,,1,,,
"Botha, A",8,0.71,Bulls ,8,6,,,4,2,100,100,3,2,1,83.3,1,1,2,,,,,,
"Brummer, F",10,0.89,Bulls ,8,6,1,,5,1,83.3,85.7,1,4,2,71.4,,,,,,,,,
"Snyman, R",5,0.89,Bulls ,8,6,,,4,2,100,100,3,2,1,83.3,2,,2,,,,,,
"Kriel, J",13,0.92,Bulls ,8,6,2,,5,1,71.4,75,,4,4,50,,,,,,,,,
"Jenkins, J",4,1,Bulls ,8,6,,,5,1,100,100,1,3,2,66.7,1,,1,,,,,,
"Stegmann, D",20,0.29,Bulls ,8,5,,,2,3,100,100,,4,1,80,1,,1,1,,1,,,
"Van der Merwe, M",3,0.63,Bulls ,8,4,,,4,,100,100,1,3,,100,1,,1,1,,1,,,1
"Nyakane, T",1,0.79,Bulls ,8,3,1,,2,1,66.7,75,,3,1,75,,2,2,,,,,,
"Basson, B",11,1,Bulls ,8,3,,,3,,100,100,,3,,100,,,,,,,,,
"Kriel, D",23,0.08,Bulls ,8,2,,,2,,100,100,1,1,,100,,,,1,,1,,,
"Orie, M",19,0.11,Bulls ,8,2,,,1,1,100,100,1,1,,100,,,,1,1,2,,,
"Visagie, J",16,0.11,Bulls ,8,2,1,,2,,66.7,66.7,1,1,1,66.7,,,,,,,,,
"Kruger, W",18,0.21,Bulls ,8,2,1,,2,,66.7,66.7,,1,2,33.3,,,,,,,,,
"Paige, R",9,0.71,Bulls ,8,2,2,,2,,50,50,,,4,,,,,,,,,,
"Strauss, A",2,0.89,Bulls ,8,2,,,2,,100,100,,2,,100,2,,2,,,,,,
"Schoeman, T",22,0.11,Bulls ,8,1,,,,1,,100,,1,,100,,,,,,,,,
"Zyl, P",21,0.29,Bulls ,8,1,,,1,,100,100,,1,,100,,,,,,,,,
"Gqoboka, L",17,0.37,Bulls ,8,1,,,1,,100,100,,1,,100,,,,,,,,,
"Marais, SP",15,1,Bulls ,8,1,,,1,,100,100,,,1,,,,,,,,,,
"Venter, F",12,0.84,Cheetahs ,8,11,3,1,10,1,76.9,73.3,2,6,7,53.3,,,,1,,1,,,1
"Uys, F",5,1,Cheetahs ,8,10,1,,8,2,88.9,90.9,,8,3,72.7,,1,1,,1,1,,,
"Cassiem, U",7,0.62,Cheetahs ,8,9,1,,8,1,88.9,90,,6,4,60,,,,,1,1,,,1
"Coetzee, J",18,0.39,Cheetahs ,8,8,,,8,,100,100,,6,2,75,,,,,,,,,
"Wegner, C",19,0.39,Cheetahs ,8,8,1,,8,,88.9,88.9,1,6,2,77.8,,,,,,,,,
"Jaarsveld, T",2,0.51,Cheetahs ,8,8,1,1,8,,88.9,80,1,4,5,50,,,,1,,1,,,
"Lobberts, H",6,0.96,Cheetahs ,8,7,3,,6,1,66.7,70,1,2,7,30,1,3,4,,,,,,
"Dyk, M",3,0.61,Cheetahs ,8,6,,,4,2,100,100,,4,2,66.7,,,,,,,,,
"Mohoje, T",21,0.38,Cheetahs ,8,5,,,4,1,100,100,,5,,100,,1,1,,,,,,2
"Toit, J",16,0.49,Cheetahs ,8,5,1,,5,,83.3,83.3,,5,1,83.3,,1,1,,,,,,
"Lee, N",13,1,Cheetahs ,8,5,2,,3,2,60,71.4,,3,4,42.9,,2,2,,,,,,
"Marais, D",10,1,Cheetahs ,8,5,1,,4,1,80,83.3,1,2,3,50,2,1,3,3,,3,,,
"Rhule, R",11,1,Cheetahs ,8,5,,,5,,100,100,,2,3,40,,,,,,,,,
"de Jager, L",4,0.61,Cheetahs ,8,4,,,3,1,100,100,,4,,100,,,,,,,,,
"Marais, C",1,0.61,Cheetahs ,8,4,1,,1,3,50,80,,4,1,80,,1,1,,,,,,
"Schoeman, P",8,1,Cheetahs ,8,4,1,,3,1,75,80,,2,3,40,1,3,4,2,,2,,,
"Zeilinga, F",23,0.22,Cheetahs ,8,3,,,2,1,100,100,,3,,100,1,,1,,,,,,
"Mienie, D",17,0.39,Cheetahs ,8,3,,,3,,100,100,,3,,100,,4,4,,,,,,
"Venter, S",9,1,Cheetahs ,8,3,2,,2,1,50,60,,3,2,60,,,,,,,,,
"Meyer, T",22,0.37,Cheetahs ,8,2,1,,1,1,50,66.7,1,1,1,66.7,,,,,,,,,1
"Venter, H",20,0.04,Cheetahs ,8,1,,,1,,100,100,,,1,,,,,,,,,,
"Blommetjies, C",15,0.56,Cheetahs ,8,1,1,,1,,50,50,,1,1,50,,,,,,,,,
"Read, K",8,1,Crusaders ,8,19,,,14,5,100,100,2,9,8,57.9,4,2,6,2,,2,,,
"Todd, M",7,1,Crusaders ,8,18,1,,12,6,92.3,94.7,2,11,6,68.4,4,,4,3,,3,,,
"Taylor, C",2,0.82,Crusaders ,8,16,1,,8,8,88.9,94.1,1,9,7,58.8,2,2,4,1,,1,,,
"Ellis, A",9,0.65,Crusaders ,8,12,2,,7,5,77.8,85.7,1,8,5,64.3,1,,1,1,,1,,,1
"Franks, O",3,0.65,Crusaders ,8,11,,,7,4,100,100,,7,4,63.6,1,1,2,,,,,,
"Moody, J",1,0.76,Crusaders ,8,11,1,,6,5,85.7,91.7,,10,2,83.3,1,1,2,,,,,,2
"Barrett, S",5,1,Crusaders ,8,10,2,,6,4,75,83.3,2,6,4,66.7,4,1,5,1,1,2,,,
"Crotty, R.",12,1,Crusaders ,8,10,1,2,8,2,88.9,76.9,,8,5,61.5,,,,,,,,,2
"Mo'unga, R",10,1,Crusaders ,8,9,2,,8,1,80,81.8,2,5,4,63.6,,1,1,2,,2,,,
"Fonotia, K",13,1,Crusaders ,8,8,3,,6,2,66.7,72.7,1,4,6,45.5,,1,1,,,,,,
"Romano, L",4,0.76,Crusaders ,8,7,2,,6,1,75,77.8,,7,2,77.8,,2,2,,,,,,
"Taufua, J",6,0.71,Crusaders ,8,6,2,,5,1,71.4,75,1,4,3,62.5,4,,4,,,,,,
"Boys, T",20,0.29,Crusaders ,8,5,,,3,2,100,100,1,1,3,40,1,,1,2,,2,,,
"Alaalatoa, M",18,0.35,Crusaders ,8,4,1,,3,1,75,80,,2,3,40,1,,1,,,,,,
"Robinson, G.R",16,0.18,Crusaders ,8,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Crockett, W",17,0.24,Crusaders ,8,2,,,1,1,100,100,,,2,,,,,,,,,,
"Dagg, I",15,0.81,Crusaders ,8,2,,,1,1,100,100,,1,1,50,,2,2,,,,,,
"Volavola, B",23,0.19,Crusaders ,8,1,,,,1,,100,,,1,,,,,,,,,,
"Tupou, J",19,0.24,Crusaders ,8,1,,,1,,100,100,,1,,100,,1,1,,,,,,
"Drummond, M",21,0.35,Crusaders ,8,1,,,1,,100,100,,,1,,,,,,,,,,
"Wainui, S",22,0.46,Crusaders ,8,1,,,1,,100,100,,1,,100,,,,,,,,,
"McNicholl, J",14,0.54,Crusaders ,8,,1,,,,,,,,1,,,,,,,,,,
"Nadolo, N",11,1,Crusaders ,8,,,,,,,,,,,,,1,1,,,,,,
"Savea, A",7,1,Hurricanes ,8,18,,,15,3,100,100,2,9,7,61.1,6,,6,1,1,2,,,
"Vito, V",8,1,Hurricanes ,8,12,1,1,9,3,90,85.7,1,5,8,42.9,1,,1,,1,1,,,1
"Shields, B",6,0.8,Hurricanes ,8,10,1,,10,,90.9,90.9,2,8,1,90.9,4,,4,1,,1,,,1
"Fatialofa, M",5,1,Hurricanes ,8,9,2,,8,1,80,81.8,2,3,6,45.5,1,1,2,1,,1,,,
"Toomaga-Allen, J",3,0.83,Hurricanes ,8,7,,,6,1,100,100,,6,1,85.7,1,2,3,,,,,,
"Aso, V",12,1,Hurricanes ,8,7,2,,6,1,75,77.8,,4,5,44.4,1,1,2,,,,,,
"Fifita, V",4,1,Hurricanes ,8,7,,,6,1,100,100,1,6,,100,1,,1,,2,2,,,
"Coles, D",2,0.83,Hurricanes ,8,6,,,5,1,100,100,,5,1,83.3,3,,3,,,,,,1
"Lauampe, N",23,0.39,Hurricanes ,8,5,,,5,,100,100,1,2,2,60,,1,1,,,,,,
"Apisai, L",16,0.17,Hurricanes ,8,4,,,4,,100,100,1,2,1,75,,,,,,,,,
"Jane, C",14,1,Hurricanes ,8,4,,,4,,100,100,,2,2,50,2,,2,,,,,,
"Proctor, M",13,1,Hurricanes ,8,4,2,,4,,66.7,66.7,,3,3,50,2,1,3,,,,,,
"Lamborn, T",20,0.06,Hurricanes ,8,3,,,3,,100,100,1,,2,33.3,,3,3,,,,,,
"Eves, C",17,0.36,Hurricanes ,8,3,,,3,,100,100,1,2,,100,2,3,5,,,,,,1
"Goodes, R",1,0.64,Hurricanes ,8,3,,,3,,100,100,,3,,100,2,,2,1,,1,,,
"Barrett, B",10,0.97,Hurricanes ,8,3,2,,3,,60,60,1,2,2,60,1,,1,,,,,,
"Perenara, T",9,0.97,Hurricanes ,8,3,2,,3,,60,60,2,,3,40,1,,1,1,,1,,,
"Woodward, J",15,0.61,Hurricanes ,8,2,,,2,,100,100,,1,1,50,,,,,,,,,
"Savea, J",11,1,Hurricanes ,8,2,1,,2,,66.7,66.7,,1,2,33.3,,,,,,,,,
"Gibson-Park, J",21,0.03,Hurricanes ,8,1,1,,,1,,50,,1,1,50,,,,,,,,,
"May, B",18,0.17,Hurricanes ,8,1,,,,1,,100,,1,,100,2,1,3,,,,,,
"Abbott, M",19,0.13,Hurricanes ,8,,1,,,,,,,,1,,1,1,2,,,,,,
"Gonzalez Iglesias, S",12,1,Jaguares ,8,11,2,,10,1,83.3,84.6,3,2,8,38.5,1,1,2,2,,2,,,
"Hernandez, J",10,0.81,Jaguares ,8,9,3,,8,1,72.7,75,1,4,7,41.7,,1,1,,,,,,1
"Bertranou, G",9,0.87,Jaguares ,8,8,,,5,3,100,100,,4,4,50,,,,,,,,,
