player,no,matchTime,team,round,tacklesMade,tacklesMiss,tacklesPenalty,tacklesFirst,tacklesAssists,tacklesFirstPerc,tacklesMadePerc,contestDom,contestNeut,contestPass,contestDNPerc,rucksEff,rucksInEff,rucksInvolvement,rucksTOForced,LOSteals,TOForced,PFAtt,PFDef,PFTot
"Vaipulu, M",19,1,Chiefs ,1,2,1,,1,1,50,66.7,,1,2,33.3,,,,,,,,,
"Bardoul, J",20,1,Chiefs ,1,1,,,1,,100,100,,1,,100,,,,,,,,,
"Graham, M",17,1,Chiefs ,1,1,,,1,,100,100,,1,,100,,,,,,,,,
"Harris, N",16,1,Chiefs ,1,1,,,1,,100,100,,1,,100,,,,,,,1,,1
"Lienert-Brown, A",22,1,Chiefs ,1,1,,,1,,100,100,1,,,100,,,,1,,1,,,
"Tokolahi, S",18,1,Chiefs ,1,1,,,1,,100,100,,1,,100,,,,,,,,1,1
"Yamashita, H",3,1,Chiefs ,1,1,,,,1,,100,,1,,100,,,,,,,,1,1
"Vaeno, L",23,1,Chiefs ,1,,,,,,,,,,,,,,1,,,,,,
"Weber, B",21,1,Chiefs ,1,,,,,,,,,,,,,,1,,,,,,
"Fonotia, K",12,1,Crusaders ,1,15,3,,12,3,80,83.3,1,7,10,44.4,,,4,1,,1,,1,1
"Franks, O",3,1,Crusaders ,1,11,1,,5,6,83.3,91.7,,6,6,50,,,4,,,,,1,1
"Read, K",8,1,Crusaders ,1,11,,,9,2,100,100,,6,5,54.5,,,3,,,,,,
"Whitelock, S",5,1,Crusaders ,1,11,,,10,1,100,100,1,6,4,63.6,,,2,,,,,1,1
"Boys, T",7,1,Crusaders ,1,10,2,,7,3,77.8,83.3,1,6,5,58.3,,,4,,,,,,
"Taufua, J",6,1,Crusaders ,1,9,4,,9,,69.2,69.2,1,6,6,53.8,,,5,1,,1,,,
"Taylor, C",2,1,Crusaders ,1,9,,,7,2,100,100,2,6,1,88.9,,,2,,,,,2,2
"Tupou, J",19,1,Crusaders ,1,9,,,8,1,100,100,,5,4,55.6,,,,,,,,,
"Ellis, A",9,1,Crusaders ,1,8,2,,8,,80,80,2,3,5,50,,,1,1,,1,,1,1
"Barrett, S",4,1,Crusaders ,1,7,1,,5,2,83.3,87.5,1,4,3,62.5,,,3,,,,,,
"Mo'unga, R",10,1,Crusaders ,1,6,2,,6,,75,75,1,3,4,50,,,1,1,,1,,,
"Nadolo, N",11,1,Crusaders ,1,6,2,,6,,75,75,,4,4,50,,,,,,,,,
"Wainui, S",13,1,Crusaders ,1,5,1,,3,2,75,83.3,,3,3,50,,,5,,,,,,
"Havili, D",15,1,Crusaders ,1,4,2,,3,1,60,66.7,,1,5,16.7,,,,,,,,,
"Macilai-Tori, J",14,1,Crusaders ,1,4,1,,3,1,75,80,1,1,3,40,,,2,,,,,,
"Fukofuka, L",21,1,Crusaders ,1,3,1,,2,1,66.7,75,,,4,,,,1,,,,,,
"Moody, J",1,1,Crusaders ,1,3,,,2,1,100,100,,1,2,33.3,,,2,1,,1,,,
"Crockett, W",17,1,Crusaders ,1,2,,,2,,100,100,,1,1,50,,,1,,,,,1,1
"Funnell, B",16,0,Crusaders ,1,2,1,,2,,66.7,66.7,,,3,,,,6,1,,1,,,
"Prinsep, R",20,1,Crusaders ,1,1,,,,1,,100,,,1,,,,,,,,,,
"Hodgson, M",7,1,Force ,1,19,,,18,1,100,100,2,13,4,78.9,,,4,2,,2,,2,2
"Stander, B",6,1,Force ,1,12,,,10,2,100,100,2,10,,100,,,4,2,,2,,1,1
"Lance, J",10,1,Force ,1,10,1,,8,2,88.9,90.9,,8,3,72.7,,,1,,,,,,
"Godwin, K",12,1,Force ,1,9,,,9,,100,100,1,5,3,66.7,,,,,,,,,
"Coleman, A",5,1,Force ,1,8,2,,8,,80,80,,5,5,50,,,8,,2,2,,1,1
"Cowan, P",1,1,Force ,1,8,2,,8,,80,80,1,6,3,70,,,2,,,,,,
"Cottrell, A",8,1,Force ,1,7,1,,5,2,83.3,87.5,,6,2,75,,,5,,,,,,
"Charles, N",2,1,Force ,1,6,1,,6,,85.7,85.7,,4,3,57.1,,,,,,,,,
"Haylett-Petty, D",15,1,Force ,1,5,2,,5,,71.4,71.4,,3,4,42.9,,,,,,,,,
"Haylett-Petty, R",19,1,Force ,1,5,,,2,3,100,100,,5,,100,,,2,,,,1,,1
"Grant, P",22,1,Force ,1,4,,,2,2,100,100,,3,1,75,,,1,,,,,,
"Millar, G",3,1,Force ,1,4,,,4,,100,100,,3,1,75,,,4,,,,,,
"Tapuai, B",13,1,Force ,1,4,2,,3,1,60,66.7,,2,4,33.3,,,1,,,,,,
"Heiberg, C",17,1,Force ,1,3,,,1,2,100,100,,3,,100,,,6,,,,,,
"Mathewson, A",9,1,Force ,1,3,,,3,,100,100,,1,2,33.3,,,1,,,,,,
"Tessmann, H",16,1,Force ,1,3,1,,3,,75,75,,3,1,75,,,1,,,,,,
"Ainsley, J",18,1,Force ,1,2,1,,1,1,50,66.7,,2,1,66.7,,,2,,,,,,
"Mafi, S",4,1,Force ,1,2,,,2,,100,100,,2,,100,,,2,,,,,1,1
"Morahan, L",14,1,Force ,1,2,,,2,,100,100,,2,,100,,,,,,,,,
"Brache, M",11,1,Force ,1,1,1,,,1,,50,1,,1,50,,,3,1,,1,,2,2
"Masirewa, S",23,1,Force ,1,1,,,1,,100,100,,1,,100,,,1,,,,,,
"Prior, I",21,1,Force ,1,1,,,1,,100,100,,1,,100,,,,,,,,,
"Alcock, C",20,1,Force ,1,,1,,,,,,,,1,,,,1,,,,,,
"Pryor, D",20,1,Highlanders ,1,17,1,,13,4,92.9,94.4,,14,4,77.8,,,,,,,,,
"Christie, S",7,1,Highlanders ,1,15,2,,11,4,84.6,88.2,1,12,4,76.5,,,,,,,,,
"Lienert-Brown, D",1,1,Highlanders ,1,12,,,7,5,100,100,,11,1,91.7,,,1,,,,,,
"Walden, T",12,1,Highlanders ,1,12,3,,9,3,75,80,,7,8,46.7,,,1,,,,,,
"Wheeler, J",5,1,Highlanders ,1,12,1,,8,4,88.9,92.3,1,10,2,84.6,,,,,,,1,1,2
"Dixon, E",6,1,Highlanders ,1,11,,,7,4,100,100,1,5,5,54.5,,,,,,,,,
"Coltman, L",2,1,Highlanders ,1,10,1,,9,1,90,90.9,,9,2,81.8,,,,,,,,,
"Franklin, T",4,1,Highlanders ,1,10,,,8,2,100,100,,7,3,70,,,,,,,,1,1
"Hohneck, J",3,1,Highlanders ,1,9,3,,5,4,62.5,75,1,7,4,66.7,,,,1,,1,,,
"Smith, A",9,1,Highlanders ,1,9,1,,5,4,83.3,90,1,7,2,80,,,,,,,,,
"Ainley, A",19,1,Highlanders ,1,8,1,,7,1,87.5,88.9,,7,2,77.8,,,,1,,1,2,1,3
"Fekitoa, M",13,1,Highlanders ,1,7,2,,7,,77.8,77.8,,2,7,22.2,,,,,,,,,
"Dixon, A",16,1,Highlanders ,1,6,1,,5,1,83.3,85.7,,3,4,42.9,,,,,,,,,
"Edmonds, B",17,1,Highlanders ,1,6,1,,5,1,83.3,85.7,1,4,2,71.4,,,,,,,,2,2
"Geldenhuys, R",18,1,Highlanders ,1,6,2,,4,2,66.7,75,1,4,3,62.5,,,,,,,,,
"Smith, B",15,1,Highlanders ,1,4,3,,4,,57.1,57.1,,2,5,28.6,,,,1,,1,,,
"Sopoaga, L",10,1,Highlanders ,1,4,2,,4,,66.7,66.7,,4,2,66.7,,,,,,,,,
