player,no,matchTime,team,round,passes,offLoads,totalPassing,kicksInPlay,carryRuns,carryMetres,carryBeatsDef,carryGainLine,carryLinebreaks,ruckEff,ruckInEff,ruckTotal,rcvs,toInPos,pfInAttack,totalPF,Ruck Success
"van der Spuy, MG",23,0.24,Cheetahs ,11,2,,2,,4,29,,2,,2,,2,,,,,100%
"Huggett, E",2,0.64,Cheetahs ,11,2,1,3,,3,4,,2,,3,8,11,2,,,,27%
"Dyk, M",18,0.36,Cheetahs ,11,1,,1,,,,,,,1,1,2,,,,1,50%
"Wegner, C",4,0.64,Cheetahs ,11,1,,1,,2,3,,,,3,6,9,,,,,33%
"De Bruin, L",3,0.64,Cheetahs ,11,,,,,1,1,,1,,4,3,7,,,,2,57%
"de Jager, L",19,0.36,Cheetahs ,11,,,,,1,11,1,1,,4,2,6,,,,,67%
"Jaarsveld, T",16,0.36,Cheetahs ,11,,,,,3,4,,1,,1,1,2,,1,,,50%
"Marais, C",17,0.36,Cheetahs ,11,,,,,2,,,,,3,1,4,,,,1,75%
"Marais, D",22,0.05,Cheetahs ,11,,1,1,,1,,,,,,,,,,,,
"Mohoje, T",7,0.89,Cheetahs ,11,,1,1,,4,15,1,2,1,6,4,10,,2,,,60%
"Nche, O",1,0.64,Cheetahs ,11,,,,,1,4,1,,,3,1,4,2,,1,3,75%
"Weber, B",9,0.85,Chiefs ,11,56,,56,,6,14,,2,,,,,1,2,,1,
"Cruden, A",10,1,Chiefs ,11,28,2,30,6,11,52,2,2,1,2,,2,2,2,,,100%
"McKenzie, D",15,1,Chiefs ,11,19,1,20,5,19,96,8,5,1,4,2,6,10,6,,,67%
"Hammington, K",21,0.15,Chiefs ,11,14,,14,,1,,,,,1,1,2,,,,,50%
"Ngatai, C",12,0.85,Chiefs ,11,11,,11,4,13,80,8,4,3,5,2,7,3,2,,1,71%
"Cane, S",7,1,Chiefs ,11,9,,9,,7,11,,3,,24,1,25,,1,,,96%
"Leitch, M",8,0.82,Chiefs ,11,6,,6,,4,5,,1,,16,1,17,1,1,1,1,94%
"Retallick, B",5,1,Chiefs ,11,6,,6,,6,16,3,3,1,17,1,18,1,1,1,1,94%
"Tamanivalu, S",13,0.79,Chiefs ,11,5,1,6,,6,18,,2,,4,,4,3,,,,100%
"Pulu, T",14,0.86,Chiefs ,11,4,,4,1,8,24,3,3,,3,1,4,4,1,,,75%
"Lowe, J",11,1,Chiefs ,11,4,1,5,5,11,44,2,2,2,4,2,6,5,2,1,1,67%
"Elliot, H",2,0.79,Chiefs ,11,2,,2,,3,19,,2,,6,2,8,,,,,75%
"Graham, M",1,0.79,Chiefs ,11,2,,2,,2,,,,,12,1,13,,1,,1,92%
"Bird, D",4,0.88,Chiefs ,11,2,,3,,6,8,,4,,15,1,16,1,1,,,94%
"Seu, T",6,1,Chiefs ,11,2,,2,,7,33,,5,,10,1,11,,1,,,91%
"Hames, K",18,0.21,Chiefs ,11,1,,1,,,,,,,6,,6,,,,,100%
"Harris, N",16,0.21,Chiefs ,11,1,,1,,2,,,,,4,1,5,,1,,,80%
"Lienert-Brown, A",22,0.21,Chiefs ,11,1,1,2,,2,8,1,1,,2,,2,,,1,1,100%
"Allardice, M",19,0.12,Chiefs ,11,,,,,1,2,,1,,9,,9,1,,,,100%
"Tokolahi, S",17,0.21,Chiefs ,11,,,,,1,,,,,3,,3,,,,1,100%
"Vaipulu, M",20,0.05,Chiefs ,11,,,,,,,,,,,,,,,,1,
"Vaka, S",23,0.14,Chiefs ,11,,,,,1,5,1,1,1,2,1,3,,,,,67%
"Yamashita, H",3,0.79,Chiefs ,11,,,,,1,,,,,9,6,15,,,1,1,60%
"Drummond, M",9,0.75,Crusaders ,11,32,,32,3,3,12,2,1,1,,,,1,,,2,
"Mo'unga, R",10,0.75,Crusaders ,11,14,1,16,6,4,22,2,3,3,5,,5,6,,,,100%
"Dagg, I",15,1,Crusaders ,11,14,2,16,6,10,20,2,1,,2,,2,11,2,,,100%
"Ellis, A",21,0.25,Crusaders ,11,9,1,10,1,4,23,,1,,,1,1,2,,,,
"Mckenzie, M",23,0.25,Crusaders ,11,6,1,7,1,3,14,1,1,,,,,,,,,
"Read, K",8,0.7,Crusaders ,11,6,,7,,2,19,1,1,,7,1,8,,,,2,88%
"Fonotia, K",13,1,Crusaders ,11,6,,6,1,3,5,,,,1,2,3,,,,,33%
"Barrett, S",4,1,Crusaders ,11,5,,5,,4,11,,1,,6,2,8,4,1,,,75%
"Todd, M",7,1,Crusaders ,11,4,1,5,,6,19,1,3,,9,1,10,,1,,,90%
"Crotty, R.",22,0.38,Crusaders ,11,3,1,4,,4,1,,1,,1,,1,,1,,,100%
"Taylor, C",2,0.88,Crusaders ,11,3,,3,,4,4,,1,,6,,6,,1,1,1,100%
"Macilai-Tori, J",11,1,Crusaders ,11,3,2,5,,12,121,5,4,4,4,1,5,3,2,2,2,80%
"Taufua, J",6,1,Crusaders ,11,3,2,5,,7,69,3,3,1,3,,3,1,2,,1,100%
"Alaalatoa, M",3,0.66,Crusaders ,11,2,,2,,1,,,,,3,,3,,,,,100%
"Havili, D",12,1,Crusaders ,11,2,,3,2,5,22,1,3,1,4,,4,2,2,,,100%
"Funnell, B",16,0.12,Crusaders ,11,1,,1,,1,2,,1,,,,,,,,1,
"Moody, J",17,0.43,Crusaders ,11,1,,1,,,,,,,3,1,4,1,,,2,75%
"Crockett, W",1,0.57,Crusaders ,11,1,,1,,3,,,,,3,1,4,1,,,2,75%
"McNicholl, J",14,0.62,Crusaders ,11,1,2,3,2,4,17,,1,1,1,,1,1,,,,100%
"Whitelock, S",5,0.66,Crusaders ,11,1,,1,,,,,,,5,,5,,,,,100%
"Boys, T",20,0.16,Crusaders ,11,,,,,,,,,,1,1,2,,,,,50%
"Franks, O",18,0.34,Crusaders ,11,,,,,,,,,,1,,1,,,,1,100%
"Romano, L",19,0.34,Crusaders ,11,,,,,1,1,,1,,,1,1,1,,,,
"Mathewson, A",9,0.73,Force,11,54,2,56,,7,38,,3,,2,,2,2,,,,100%
"Prior, I",10,0.88,Force,11,31,,31,3,2,7,,,,7,5,12,2,1,,,58%
"Godwin, K",12,1,Force,11,11,,11,3,10,34,1,3,,7,1,8,,1,,,88%
"Louwrens, R",21,0.27,Force,11,5,,5,,,,,,,,,,,,,,
"Rasolea, S",13,0.94,Force,11,5,3,8,,8,21,1,1,1,7,,7,,,,,100%
"Hodgson, M",7,0.98,Force,11,5,,5,,9,18,,1,,22,1,23,4,1,,,96%
"Haylett-Petty, D",15,1,Force,11,4,2,6,12,10,59,4,4,1,4,1,5,8,2,,1,80%
"McCalman, B",8,1,Force,11,4,,4,,8,24,1,3,,11,1,12,1,,,,92%
"Haylett-Petty, R",4,0.82,Force,11,3,3,6,,10,20,1,3,,7,2,9,,1,,,78%
"Millar, G",3,0.73,Force,11,2,,2,,5,10,,2,,12,1,13,,1,1,1,92%
"Stander, B",6,0.8,Force,11,2,,2,,7,23,,2,,12,1,13,,,2,2,92%
"Scoble, H",2,0.93,Force,11,2,,2,,2,1,,1,,15,1,16,,1,,,94%
"van Wyk, F",1,0.94,Force,11,2,,2,1,5,27,2,3,1,13,1,14,,,1,1,93%
"Morahan, L",11,1,Force,11,2,2,4,3,8,34,1,5,,6,1,7,6,,,2,86%
"Grant, P",22,0.12,Force,11,1,,1,,1,5,,,,,,,1,,,,
"Brache, M",14,1,Force,11,1,1,2,,7,69,3,6,2,1,1,2,1,,1,1,50%
"Coleman, A",5,1,Force,11,1,1,2,,5,10,,3,,8,1,9,3,,,,89%
"Cottrell, A",20,0.21,Force,11,,,,,1,58,,1,1,,,,1,,,,
"Faulkner, T",18,0.27,Force,11,,,,,,,,,,,,,,,,1,
"Smith, A",9,0.89,Highlanders ,11,55,,55,13,6,9,,2,,,,,3,1,,,
"Sopoaga, L",10,0.87,Highlanders ,11,16,,16,6,6,53,1,2,1,3,1,4,5,,,,75%
"Fekitoa, M",12,1,Highlanders ,11,6,2,8,2,9,25,1,5,,6,,6,,1,1,1,100%
"Dixon, A",2,0.8,Highlanders ,11,5,,5,,2,,,,,11,,11,,1,,1,100%
"Osborne, P",11,1,Highlanders ,11,4,1,5,1,3,39,1,1,1,5,1,6,3,,,,83%
"Smith, B",15,1,Highlanders ,11,4,2,6,6,13,60,1,3,,3,,3,3,1,,,100%
"Franklin, T",5,0.88,Highlanders ,11,3,,3,,7,14,,4,,11,2,13,1,,,,85%
"Dixon, E",6,1,Highlanders ,11,3,1,4,,4,8,,1,,9,,9,2,,1,2,100%
"Banks, M",22,0.13,Highlanders ,11,2,,2,1,1,11,,,1,,,,1,,,,
"Hohneck, J",3,0.71,Highlanders ,11,2,1,3,,3,4,,1,,4,,4,1,,,,100%
"Lienert-Brown, D",1,0.88,Highlanders ,11,2,,2,,2,13,1,1,1,18,2,20,2,,,,90%
"Pryor, D",7,0.92,Highlanders ,11,2,,2,,2,2,,1,,14,,14,1,,,,100%
"Naholo, W",14,1,Highlanders ,11,2,,2,1,9,79,2,2,2,,,,6,3,,1,
"Whitelock, L",8,1,Highlanders ,11,2,2,4,,10,17,2,2,,13,1,14,2,1,,,93%
"Ainley, A",4,1,Highlanders ,11,1,2,3,,7,6,,2,,17,,17,2,,,1,100%
"Evans, G",20,0.12,Highlanders ,11,,,,,,,,,,,,,,,,1,
"Faddes, M",13,0.96,Highlanders ,11,,1,1,2,6,8,1,2,,4,,4,2,1,,,100%
"Halanukonuka, S",18,0.29,Highlanders ,11,,,,,3,3,,1,,5,1,6,,1,,1,83%
"Lentjes, J",19,0.08,Highlanders ,11,,,,,,,,,,,1,1,,,,,
"Pleasants, G",16,0.2,Highlanders ,11,,,,,3,5,,1,,4,,4,1,,,,100%
"Tanaka, F",21,0.11,Highlanders ,11,,,,,1,,,,,,,,1,,1,1,
"Perenara, T",9,0.71,Hurricanes ,11,69,,69,4,3,52,3,3,1,,1,1,2,1,,,
"Barrett, B",10,0.78,Hurricanes ,11,31,1,32,12,9,26,,2,,2,1,3,12,,,1,67%
"Marshall, J",15,1,Hurricanes ,11,29,1,30,4,11,66,3,4,1,8,,8,4,3,,2,100%
"Gibson-Park, J",21,0.29,Hurricanes ,11,22,1,23,2,1,,,,,2,,2,1,,,,100%
"Jane, C",14,1,Hurricanes ,11,10,2,12,,9,81,,3,1,6,2,8,9,2,1,1,75%
"Toomaga-Allen, J",3,0.64,Hurricanes ,11,5,,5,,5,2,,1,,10,6,16,2,1,,1,63%
"Savea, J",11,1,Hurricanes ,11,5,,5,,5,43,,2,,3,2,5,1,,,,60%
"Coles, D",2,0.87,Hurricanes ,11,4,,5,,10,69,5,4,3,8,2,10,2,2,,,80%
"Vito, V",8,1,Hurricanes ,11,4,,4,,8,40,1,3,,8,6,14,4,,,,57%
"Fifita, V",4,0.64,Hurricanes ,11,3,,3,,9,1,1,1,,7,6,13,,2,,,54%
"Aso, V",13,1,Hurricanes ,11,3,,3,1,9,57,3,5,2,10,3,13,3,1,,,77%
"Savea, A",7,1,Hurricanes ,11,3,1,5,,10,18,1,3,,16,9,25,4,1,1,2,64%
"Woodward, J",23,0.22,Hurricanes ,11,2,,2,,3,18,,1,,,,,,1,,,
"Thomson, B",20,0.36,Hurricanes ,11,2,,3,,4,11,1,2,,4,,4,1,,,,100%
"Shields, B",6,1,Hurricanes ,11,2,,2,,9,13,1,6,,5,6,11,3,2,1,2,45%
"Matu'u, M",16,0.13,Hurricanes ,11,1,,1,,2,,,,,2,1,3,,,,1,67%
"Halaholo, W",22,0.37,Hurricanes ,11,1,1,3,1,4,21,3,4,,,2,2,2,2,,,
"Fatialofa, M",5,0.69,Hurricanes ,11,1,,2,,9,11,1,4,,7,6,13,1,2,,1,54%
"Goodes, R",1,0.69,Hurricanes ,11,1,,1,,3,13,1,1,,14,3,17,2,1,,,82%
"Abbott, M",19,0.31,Hurricanes ,11,,,,,4,10,1,2,,1,2,3,,2,,,33%
"Eves, C",17,0.31,Hurricanes ,11,,,,,1,,,,,2,2,4,,,,,50%
"Lauampe, N",12,0.63,Hurricanes ,11,,1,1,,7,19,2,3,,6,3,9,2,1,,,67%
"May, B",18,0.36,Hurricanes ,11,,,,,1,3,,1,,4,2,6,,,,,67%
"Frisby, N",9,1,Reds,11,85,1,86,8,6,22,1,1,,2,1,3,5,3,,,67%
"McIntyre, J",10,0.8,Reds,11,29,,29,7,4,18,1,1,,2,,2,2,1,1,1,100%
"Tuttle, J",21,0.12,Reds,11,14,1,15,,2,3,,2,,1,,1,,,,,100%
"Greene, S",22,0.2,Reds,11,8,,8,4,2,4,,1,,3,1,4,,2,,,75%
"Fainga'a, A",12,0.88,Reds,11,7,1,8,1,7,15,1,1,,16,,16,1,2,2,2,100%
"Hunt, K",15,0.74,Reds,11,5,,5,2,6,49,,3,,4,1,5,5,,,,80%
"Gill, L",7,1,Reds,11,5,,5,,11,42,2,7,2,33,3,36,2,2,,,92%
"Browning, C",8,1,Reds,11,4,,4,,14,11,,5,,22,2,24,2,,1,1,92%
"Ready, A",2,0.95,Reds,11,3,,3,,15,14,,6,,19,4,23,,2,,,83%
"Laloifi, L",23,0.26,Reds,11,1,1,2,,4,19,,2,,3,,3,2,,,,100%
"Slipper, J",1,0.84,Reds,11,1,,1,,10,19,,6,,8,3,11,2,,2,3,73%
"Tui, H",6,0.85,Reds,11,1,1,2,,7,19,1,3,,14,1,15,2,,,,93%
"Feauai-Sautia, C",14,1,Reds,11,1,,1,1,9,19,2,2,,7,,7,3,2,,,100%
"Magnay, C",13,1,Reds,11,1,,1,,7,70,1,3,2,17,4,21,2,1,1,1,81%
"Nabuli, E",11,1,Reds,11,1,,1,1,8,30,1,1,,12,2,14,5,2,,1,86%
"Simmons, R",5,1,Reds,11,1,,1,,3,1,1,1,,22,4,26,,1,,,85%
"Faagase, S",17,0.16,Reds,11,,,,,2,,,,,4,,4,,,,,100%
"Gunn, M",20,0.15,Reds,11,,,,,2,26,1,1,1,6,,6,,,,,100%
"Holmes, G",3,0.82,Reds,11,,,,,3,,1,,,21,7,28,,,,,75%
"Matwijow, B",4,0.72,Reds,11,,,,,8,2,,1,,9,2,11,,,1,1,82%
"Neville, C",19,0.28,Reds,11,,,,,,,,,,11,1,12,,,,,92%
"Talakai, S",18,0.18,Reds,11,,,,,1,,,,,3,2,5,,,,,60%
"Claassens, M",9,0.92,Sharks,11,51,1,52,5,9,23,1,4,1,,1,1,5,,,,
"Roux, W",15,1,Sharks,11,19,,19,12,3,3,,1,,1,,1,2,1,,,100%
"Ungerer, S",21,0.08,Sharks,11,16,,16,1,,,,,,1,,1,1,,,,100%
"April, G",10,0.64,Sharks,11,9,,9,8,6,74,2,2,1,1,3,4,9,1,,,25%
"Preez, D",8,1,Sharks,11,8,1,10,,9,57,4,4,1,11,6,17,2,1,,,65%
"Lewies, S",5,1,Sharks,11,6,,6,,5,26,1,3,,16,6,22,3,,,,73%
"Preez, J",7,0.87,Sharks,11,4,1,5,,7,11,1,3,,10,2,12,2,2,1,3,83%
"Esterhuizen, A",12,1,Sharks,11,4,,5,1,13,57,5,5,1,5,2,7,2,2,,,71%
"Marais, F",2,0.71,Sharks,11,3,1,4,,4,,,,,10,4,14,2,2,,,71%
"Daniel, K",6,1,Sharks,11,3,2,6,1,9,106,4,3,3,7,1,8,3,1,,,88%
"Mvovo, L",11,1,Sharks,11,3,,3,2,7,55,1,1,2,2,2,4,5,1,,,50%
"Pietersen, J",14,1,Sharks,11,3,2,5,2,8,39,2,6,,6,2,8,6,1,1,1,75%
"Andrews, H",19,0.13,Sharks,11,2,,2,,,,,,,5,,5,1,,,,100%
"Jordaan, P",13,0.82,Sharks,11,2,,2,,6,65,,3,,6,1,7,2,2,,,86%
"Adriaanse, L",3,0.92,Sharks,11,2,,2,,4,3,,,,15,7,22,2,,,,68%
"du Toit, T",18,0.08,Sharks,11,1,,1,,2,2,,1,,7,,7,1,,,,100%
"Lambie, P",22,0.36,Sharks,11,1,1,3,1,7,18,,2,1,2,1,3,,2,,,67%
"Mtawarira, T",1,0.82,Sharks,11,1,,1,,5,10,1,3,,10,4,14,2,,2,3,71%
"Oosthuizen, E",4,0.87,Sharks,11,1,,1,,3,,,,,16,5,21,2,1,,,76%
"Chadwick, DM",17,0.18,Sharks,11,,,,,3,2,,1,,5,,5,,,,,100%
"Deysel, J",20,0.13,Sharks,11,,2,2,,4,2,,2,,3,1,4,1,,,,75%
"Ndungane, O",23,0.18,Sharks,11,,,,,,,,,,,,,1,,,,
"Ralepelle, C",16,0.29,Sharks,11,,,,,3,6,,1,,7,1,8,2,,,,88%
"Hiwasa, A",21,0.55,Sunwolves,11,69,2,71,1,6,14,,3,,,,,1,,,1,
"Shigeno, K",9,0.45,Sunwolves,11,23,,23,,1,,,,,1,,1,1,2,,,100%
"Pisi, T",10,0.82,Sunwolves,11,22,,22,7,9,60,,5,,2,,2,3,3,,,100%
"Tatekawa, H",12,1,Sunwolves,11,12,,12,,8,39,4,5,1,13,3,16,2,3,,,81%
"Tamura, Y",22,0.18,Sunwolves,11,10,,10,,4,9,,2,,2,1,3,,,,,67%
"Viljoen, R",15,1,Sunwolves,11,10,3,13,3,10,120,3,3,1,4,1,5,4,1,,,80%
"Carpenter, D",13,0.94,Sunwolves,11,8,1,9,1,9,47,1,3,2,5,4,9,1,1,1,2,56%
"Durutalo, A",7,1,Sunwolves,11,6,3,10,,16,82,1,11,,10,7,17,2,1,,1,59%
"Lemalu, F",5,1,Sunwolves,11,5,,5,,11,22,,4,,15,5,20,2,,,,75%
"Moli, L",6,1,Sunwolves,11,4,,4,,11,35,1,5,,16,2,18,1,1,,,89%
"Kizu, T",16,0.3,Sunwolves,11,2,,2,,7,9,,5,,14,2,16,,,1,1,88%
"Horie, S",2,0.7,Sunwolves,11,2,,2,,3,5,,1,,2,1,3,1,2,,1,67%
"Ono, H",4,0.82,Sunwolves,11,2,,2,,2,2,,1,,13,3,16,,,,1,81%
"Stewart, J",11,1,Sunwolves,11,2,1,3,,13,114,2,4,2,6,5,11,6,2,,,55%
"Gu, Z",17,0.06,Sunwolves,11,1,,1,,3,1,,1,,4,1,5,,,,,80%
"Paea, M",23,0.06,Sunwolves,11,1,1,2,,4,17,,3,,1,,1,,,,,100%
"Hosoda, Y",19,0.18,Sunwolves,11,1,,1,,3,,,,,5,3,8,,,,,63%
"Ando, T",20,0.33,Sunwolves,11,1,,1,,8,26,2,5,,12,,12,,1,,,100%
"Kakinaga, S",3,0.66,Sunwolves,11,1,,1,,1,4,,1,,6,1,7,2,,1,1,86%
"Mikami, M",1,0.94,Sunwolves,11,1,,1,,5,4,,1,,10,4,14,,,,,71%
"Yamada, A",14,1,Sunwolves,11,1,1,4,,12,71,4,2,3,3,3,6,4,2,1,1,50%
"Asahara, T",18,0.34,Sunwolves,11,,,,,1,1,,1,,16,3,19,,,,,84%
"Quirk, E",8,0.67,Sunwolves,11,,,,,1,1,,1,,10,,10,1,,,,100%
"Phipps, N",9,0.79,Waratahs,11,46,3,49,4,3,10,,2,,,1,1,5,2,,,
"Lucas, M",21,0.21,Waratahs,11,22,2,24,1,2,5,,2,,1,1,2,,,,,50%
"Foley, B",10,1,Waratahs,11,18,,18,9,6,22,2,1,1,3,2,5,2,1,,,60%
"Beale, K",12,1,Waratahs,11,16,,16,10,12,51,2,1,,10,4,14,8,1,,,71%
"Folau, I",13,1,Waratahs,11,5,,5,1,7,33,2,4,,3,3,6,,,,1,50%
"Skelton, W",5,0.45,Waratahs,11,3,,3,,4,2,,1,,4,3,7,1,2,,,57%
"Palu, W",8,0.79,Waratahs,11,3,1,4,,4,6,3,2,,7,6,13,2,,,1,54%
"Hooper, M",7,1,Waratahs,11,3,1,4,1,4,32,2,2,1,11,6,17,1,2,1,2,65%
"Kellaway, A",15,1,Waratahs,11,3,,3,2,5,56,2,,2,1,5,6,5,2,,,17%
"Mumm, D",6,1,Waratahs,11,3,,3,,5,30,,3,,9,7,16,2,,,1,56%
"Taavao-Matau, A",18,0.28,Waratahs,11,2,,2,,2,,,,,1,4,5,,,,,20%
"Robertson, T",3,0.72,Waratahs,11,2,,2,,1,1,,,,10,7,17,,,,,59%
"Ryan, P",1,0.89,Waratahs,11,2,,2,,3,3,,1,,9,3,12,1,,,2,75%
"Roach, H",16,0.11,Waratahs,11,1,1,2,,3,3,,1,,1,2,3,,,,,33%
"Dennis, D",4,1,Waratahs,11,1,,1,1,7,15,,1,,8,5,13,2,3,,,62%
"Horne, R",11,1,Waratahs,11,1,,1,,7,37,,3,,2,2,4,1,,,,50%
"Carraro, M",23,0.1,Waratahs,11,,,,,1,2,,,,2,,2,,,,,100%
"Hanigan, N",20,0.21,Waratahs,11,,,,,2,13,,2,,5,,5,,1,,,100%
"Lousi, S",19,0.55,Waratahs,11,,,,,1,,,,,7,2,9,1,1,,,78%
"Polota-Nau, T",2,0.89,Waratahs,11,,1,1,,6,4,,1,,5,5,10,1,,,,50%
"Robinson, R",14,0.9,Waratahs,11,,,,2,5,24,1,2,,,2,2,3,1,,,
"Tilse, J",17,0.11,Waratahs,11,,,,,,,,,,2,2,4,,,,,50%
"Hall, B",9,0.76,Blues,11,58,1,59,4,2,5,1,1,,,,,2,1,,,
"Guyton, B",21,0.24,Blues,11,23,,23,1,5,17,3,4,1,2,,2,1,,,,100%
"West, I",10,0.89,Blues,11,23,,23,9,6,13,4,,,1,,1,3,1,,,100%
"Francis, P",12,0.89,Blues,11,9,,9,1,4,9,,2,,10,4,14,,,1,1,71%
"Luatua, S",8,1,Blues,11,7,1,10,,9,49,4,4,1,10,8,18,5,2,,1,56%
"Visinia, L",15,1,Blues,11,5,,5,2,6,25,,1,,3,2,5,2,2,,,60%
"McGahan, M",22,0.11,Blues,11,4,,4,,2,2,,,,,,,1,1,,,
"Kaino, J",6,1,Blues,11,4,,4,,13,43,,3,,11,4,15,6,,,,73%
"Moala, G",13,1,Blues,11,4,,5,1,8,33,1,3,,7,3,10,1,1,,,70%
"Matenga, H",19,0.45,Blues,11,3,,3,,3,2,,1,,11,,11,,1,,1,100%
"Tuipulotu, P",4,1,Blues,11,3,1,4,,8,13,3,3,,14,10,24,2,1,,,58%
"Latimer, T",7,0.82,Blues,11,2,,2,,5,3,,1,,17,8,25,2,,,,68%
"Li, T",11,1,Blues,11,2,2,4,,7,49,5,,1,3,4,7,2,1,,,43%
"Nanai, M",14,1,Blues,11,2,,2,,5,58,9,3,2,5,1,6,4,1,,,83%
"Sa'u, M",23,0.11,Blues,11,1,,1,,2,4,2,2,1,2,,2,,,,,100%
"Moulds, M",16,0.14,Blues,11,1,,1,,,,,,,7,,7,1,,,,100%
"Pryor, K",20,0.18,Blues,11,1,,1,,,,,,,3,1,4,,,,1,75%
"Faumuina, C",18,0.43,Blues,11,1,,1,,5,14,1,2,,5,6,11,2,1,,,45%
"Prattley, S",1,0.62,Blues,11,1,,1,,4,23,2,3,1,12,5,17,,,,,71%
"Bekhuis, J",5,0.55,Blues,11,,,,,2,,,,,12,4,16,,,,1,75%
"Mayhew, N",17,0.38,Blues,11,,,,,4,4,,1,,8,3,11,,1,,1,73%
"Parsons, J",2,0.86,Blues,11,,,,1,6,12,2,3,,10,2,12,1,,1,2,83%
"Tu'ungafasi, O",3,0.57,Blues,11,,,,,7,9,,2,,13,6,19,1,,,,68%
"Hall, J",9,0.86,Kings,11,49,,49,5,5,13,1,4,,2,1,3,,1,,,67%
"Watts, E",10,0.79,Kings,11,19,,19,5,6,24,1,2,,1,,1,4,,,1,100%
"Gates, S",12,1,Kings,11,9,1,10,,4,23,2,4,,7,6,13,2,,,,54%
"Kebe, N",21,0.14,Kings,11,8,,8,1,,,,,,1,,1,,,,,100%
"Velleman, C",8,1,Kings,11,6,,6,,14,44,4,7,,15,6,21,6,,1,1,71%
"Watermeyer, S",13,1,Kings,11,6,,6,1,11,47,2,6,2,6,1,7,1,2,,,86%
"Marutlulle, E",2,0.79,Kings,11,5,1,6,,10,20,,6,1,6,6,12,2,1,,1,50%
"Cloete, C",6,1,Kings,11,5,,5,,8,30,1,3,1,17,10,27,3,1,1,3,63%
"Fouche, L",22,0.21,Kings,11,4,,4,,,,,,,2,,2,,,,,100%
"Am, L",14,1,Kings,11,4,1,6,,5,27,2,2,1,7,1,8,3,1,,,88%
"Astle, J",5,1,Kings,11,4,,4,,5,4,,2,,17,9,26,2,1,,1,65%
"Visser, J",15,0.86,Kings,11,3,,3,3,5,39,1,1,1,5,,5,4,3,,,100%
"Botha, T",3,0.7,Kings,11,2,,2,,3,,,,,9,6,15,,,,1,60%
"Sithole, S",1,0.7,Kings,11,2,,2,,1,,,,,12,7,19,,,,,63%
"Sykes, S",4,0.79,Kings,11,2,1,3,,3,3,,2,,15,5,20,,2,,,75%
"Vulindlu, L",11,1,Kings,11,2,,3,,5,15,1,1,,8,3,11,1,1,,1,73%
"Eksteen, L",23,0.14,Kings,11,1,,1,1,2,14,,,,1,1,2,1,,,,50%
"Oelofse, S",19,0.21,Kings,11,1,,1,,1,,,,,2,,2,,1,,,100%
"Willemse, S",20,0.21,Kings,11,1,,1,,1,2,,1,,3,,3,,,,,100%
"Bholi, T",7,0.79,Kings,11,1,1,2,,9,25,1,4,1,9,3,12,,,,2,75%
"Ackerman, J",17,0.3,Kings,11,,,,,1,6,,,,2,3,5,,,1,1,40%
"Adriaanse, J",18,0.3,Kings,11,,,,,1,,,,,1,1,2,,1,,,50%
"Ferreira, M",16,0.21,Kings,11,,1,1,,1,,,,,2,1,3,,1,,,67%
"Hall, B",9,0.58,Blues,12,32,,32,1,2,1,,1,,,,,,1,1,1,
"Guyton, B",21,0.42,Blues,12,24,,24,1,5,1,,1,,,,,3,3,1,1,
"West, I",10,1,Blues,12,14,,14,8,3,22,,,,5,1,6,4,,,,83%
"Luatua, S",8,1,Blues,12,8,1,9,,7,18,,3,,14,10,24,2,3,,1,58%
"Francis, P",12,1,Blues,12,5,,5,3,3,10,1,2,,7,7,14,2,,,1,50%
"McGahan, M",22,0.2,Blues,12,4,,4,2,2,8,,,,1,2,3,2,1,,,33%
"MacDonald, Q",16,0.17,Blues,12,3,,3,,2,,,,,1,1,2,2,1,,,50%
"Pryor, K",20,0.29,Blues,12,3,,3,,2,37,2,1,1,6,6,12,1,,,1,50%
"Kaino, J",6,0.71,Blues,12,2,,2,,5,14,,2,,4,5,9,,1,1,2,44%
"Parsons, J",2,0.83,Blues,12,2,1,3,1,8,11,1,5,,5,7,12,3,,,,42%
"Li, T",11,1,Blues,12,2,1,3,3,10,36,2,2,,2,,2,7,2,,,100%
"Nanai, M",14,1,Blues,12,2,1,4,1,7,37,1,4,2,3,1,4,1,,,,75%
"Tuipulotu, P",5,1,Blues,12,2,,2,,4,6,,2,,9,16,25,1,1,,,36%
"Sa'u, M",23,0.17,Blues,12,1,,1,,5,36,,3,,,2,2,1,,,,
"Latimer, T",7,0.71,Blues,12,1,,1,,5,4,,1,,7,7,14,2,1,,1,50%
"Visinia, L",15,0.8,Blues,12,1,,1,5,7,13,,2,,1,,1,7,2,,,100%
"Moala, G",13,0.83,Blues,12,1,,1,,2,,,,,3,1,4,,1,,,75%
"Matenga, H",4,1,Blues,12,1,,1,,7,1,,1,,13,4,17,1,1,,,76%
"Edwards, J",19,0.29,Blues,12,,,,,2,9,1,1,,3,5,8,,1,,,38%
"Faumuina, C",3,0.58,Blues,12,,,,,4,2,,1,,5,8,13,1,1,,1,38%
"Mayhew, N",17,0.24,Blues,12,,,,,1,2,,,,4,2,6,,,,1,67%
"Prattley, S",1,0.76,Blues,12,,,,,2,3,,1,,8,8,16,,1,,1,50%
"Tu'ungafasi, O",18,0.42,Blues,12,,,,,2,18,,1,1,6,7,13,,,,,46%
"Cubelli, T",9,0.79,Brumbies,12,69,,69,4,4,12,,2,,,,,1,1,,,
