Team,Round,kicksTerritorialTot,kicksTerritorialDist,kicksTerritorialAvg,kicksBombTot,kicksBombDist,kicksBoxTot,kicksBoxDist,kicksChipTot,kicksChipDist,kicksCrossFieldTot,kicksCrossFieldDist,kicksLowTot,kicksLowDist,kicksChgdDown,kicksTotal,kicksTotalDist
Crusaders,11,17,670,39.4,,,2,59,1,30,,,2,29,,22,788
Chiefs,11,15,626,41.7,3,74,,,2,18,,,1,30,1,21,748
Cheetahs,11,9,414,46,,,3,94,2,47,,,,,,14,555
Bulls,11,15,404,26.9,1,27,2,40,,,,,2,18,,20,489
Brumbies,11,12,382,31.8,,,7,192,5,89,,,2,20,1,26,683
Kings,11,7,245,35,4,107,4,93,,,,,1,18,,16,463
Blues,11,10,448,44.8,,,3,51,,,1,12,5,103,1,19,614
Waratahs,12,15,623,41.5,3,55,2,76,1,12,,,2,12,1,23,778
Sunwolves,12,11,451,41,6,153,1,35,3,66,,,3,84,,24,789
Stormers,12,13,564,43.4,4,104,2,62,2,28,,,2,59,,23,817
Sharks,12,9,367,40.8,1,38,6,182,,,,,,,,16,587
Reds,12,12,381,31.8,,,4,72,2,34,1,13,3,61,2,22,561
Rebels,12,9,292,32.4,,,1,13,1,11,,,2,71,1,13,387
Lions,12,18,864,48,6,130,5,123,6,79,1,25,1,12,,37,1233
Jaguares,12,8,357,44.6,3,90,2,32,1,38,,,4,64,,18,581
Hurricanes,12,9,401,44.6,1,28,5,117,1,27,1,23,10,181,2,27,777
Highlanders,12,8,359,44.9,4,89,7,158,7,134,1,11,3,31,,30,782
Crusaders,12,16,706,44.1,,,1,20,,,2,50,6,67,,25,843
Bulls,12,15,595,39.7,3,82,3,57,1,22,,,1,4,1,23,760
Brumbies,12,5,158,31.6,,,3,69,1,8,,,4,94,,13,329
Blues,12,13,573,44.1,6,196,1,20,3,35,,,2,51,,25,875
Kings,12,14,433,30.9,3,88,4,102,1,26,,,3,40,,25,689
Cheetahs,12,12,529,44.1,,,2,25,,,,,2,4,1,16,558
Waratahs,13,15,719,47.9,7,176,1,1,4,43,,,7,79,2,34,1018
Sunwolves,13,13,538,41.4,1,20,,,5,109,,,,,1,19,667
Stormers,13,5,192,38.4,1,26,3,73,2,47,,,2,36,1,13,374
Sharks,13,12,477,39.8,1,30,1,30,4,78,1,20,1,21,2,20,656
Reds,13,7,173,24.7,4,93,3,106,1,18,,,1,13,,16,403
Rebels,13,17,578,34,2,63,,,,,,,3,29,1,22,670
Lions,13,13,576,44.3,2,34,2,84,1,12,1,9,3,63,,22,778
Kings,13,11,452,41.1,3,118,5,129,1,16,,,1,2,,21,717
Jaguares,13,10,531,53.1,3,92,1,34,3,72,,,4,83,,21,812
Force,13,11,469,42.6,5,166,1,31,,,,,3,54,1,20,720
Crusaders,13,27,948,35.1,4,76,5,102,1,19,1,20,10,139,1,48,1304
Chiefs,13,10,384,38.4,1,15,2,67,2,33,,,6,115,,21,614
Bulls,13,5,172,34.4,3,98,6,118,2,50,,,4,86,1,20,524
Blues,13,12,399,33.3,4,94,7,202,,,1,13,,,1,24,708
Waratahs,14,10,298,29.8,,,2,15,1,2,,,,,1,13,315
Sunwolves,14,17,645,37.9,,,2,62,1,10,,,3,46,,23,763
Stormers,14,20,636,31.8,1,35,1,22,1,64,1,22,3,66,3,27,845
Rebels,14,6,158,26.3,3,72,1,38,2,30,,,3,53,,15,351
Lions,14,10,355,35.5,3,98,4,122,3,48,,,1,1,,21,624
Kings,14,8,304,38,2,61,4,107,,,,,2,49,,16,521
Jaguares,14,10,309,30.9,5,130,2,62,1,15,1,14,1,23,1,20,553
Hurricanes,14,7,210,30,8,168,5,129,3,58,,,8,181,2,31,746
Highlanders,14,13,586,45.1,4,111,4,50,3,54,,,4,76,,28,877
Force,14,7,295,42.1,5,151,,,1,22,1,17,3,76,,17,561
Crusaders,14,18,635,35.3,,,,,1,17,,,3,82,1,22,734
Chiefs,14,5,201,40.2,1,19,1,23,,,1,11,3,78,,11,332
Cheetahs,14,10,466,46.6,,,5,133,2,51,,,2,42,,19,692
Bulls,14,10,404,40.4,2,83,4,89,2,59,,,,,,18,635
Brumbies,14,14,501,35.8,2,54,4,112,5,105,,,5,114,,30,886
Blues,14,10,262,26.2,3,81,7,206,,,,,5,115,1,25,664
Blues,15,9,275,30.6,1,28,3,95,3,79,2,19,1,4,1,19,500
Brumbies,15,15,578,38.5,1,19,1,23,2,80,,,2,32,1,21,732
Bulls,15,5,156,31.2,4,130,11,193,1,26,,,2,28,,23,533
Cheetahs,15,19,865,45.5,,,,,1,,,,6,13,,26,878
Chiefs,15,20,929,46.5,4,112,2,27,,,,,6,178,1,32,1246
Crusaders,15,19,782,41.2,4,68,2,42,1,26,2,50,2,43,1,30,1011
Force,15,20,810,40.5,6,178,1,27,2,53,,,4,64,2,33,1132
Highlanders,15,15,501,33.4,7,166,,,6,137,,,7,135,2,35,939
Hurricanes,15,6,263,43.8,3,62,4,97,3,61,,,9,122,,25,605
Jaguares,15,18,782,43.4,2,51,3,86,1,23,1,18,3,54,,28,1014
Kings,15,20,779,39,10,187,4,87,1,-3,1,22,4,45,,40,1117
Lions,15,14,549,39.2,1,33,3,78,3,15,,,2,31,,23,706
Rebels,15,13,443,34.1,,,2,35,,,,,1,27,1,16,505
Reds,15,15,302,20.1,,,4,65,1,41,,,,,1,20,408
Sharks,15,13,604,46.5,2,44,5,106,1,30,,,2,19,1,23,803
Stormers,15,22,768,34.9,,,1,12,1,12,,,,,,24,792
Sunwolves,15,8,377,47.1,1,31,,,,,,,1,30,,10,438
Waratahs,15,5,243,48.6,1,39,1,16,,,,,1,4,,8,302
