Team,Round,points,tries,conversions,penaltyGoals,goalKickPercentage,dropGoals
Lions,4,39,5,4,2,85.7,
Kings,4,24,3,3,1,80,
Jaguares,4,26,3,1,3,66.7,
Hurricanes,4,41,6,4,1,62.5,
Highlanders,4,30,4,2,1,50,1
Crusaders,4,57,8,7,1,80,
Chiefs,4,30,4,2,2,57.1,
Cheetahs,4,22,3,2,1,75,
Bulls,4,16,1,1,2,50,1
Brumbies,4,11,1,,2,50,
Blues,4,25,3,2,2,80,
Waratahs,5,15,2,1,1,50,
Sunwolves,5,27,3,3,2,83.3,
Stormers,5,13,1,1,2,100,
Sharks,5,14,2,2,,100,
Reds,5,13,1,1,2,75,
Rebels,5,3,,,1,50,
Kings,5,20,2,2,2,80,
Jaguares,5,8,1,,1,25,
Hurricanes,5,42,5,4,3,77.8,
Highlanders,5,27,3,3,2,100,
Western Force,5,10,1,1,1,100,
Crusaders,5,19,3,2,,33.3,
Chiefs,5,53,9,4,,40,
Cheetahs,5,18,2,1,2,60,
Bulls,5,30,3,3,3,75,
Brumbies,5,25,3,2,2,80,
Sunwolves,6,28,4,1,2,50,
Lions,6,37,4,4,3,87.5,
Kings,6,33,4,2,3,71.4,
Jaguares,6,16,1,1,3,80,
Highlanders,6,32,4,3,2,83.3,
Western Force,6,20,2,2,2,100,
Crusaders,6,43,6,5,1,85.7,
Chiefs,6,48,6,3,4,70,
Cheetahs,6,18,2,1,2,60,
Bulls,6,23,3,1,2,42.9,
Brumbies,6,23,2,2,3,83.3,
Blues,6,24,2,1,4,71.4,
Waratahs,6,17,2,2,1,75,
Rebels,6,21,2,1,3,66.7,
Sunwolves,7,19,3,2,,66.7,
Stormers,7,46,7,4,1,55.6,
Sharks,7,9,,,3,100,
Reds,7,28,3,2,2,57.1,1
Lions,7,24,2,1,4,83.3,
Kings,7,6,,,2,100,
Jaguares,7,22,3,2,1,75,
Hurricanes,7,40,6,5,,71.4,
Highlanders,7,27,3,3,2,100,
Western Force,7,19,1,1,4,100,
Crusaders,7,20,3,1,1,50,
Chiefs,7,29,5,2,,40,
Bulls,7,38,6,4,,66.7,
Blues,7,23,2,2,3,100,
Waratahs,8,20,2,2,2,80,
Sunwolves,8,17,2,2,1,100,
Stormers,8,22,1,1,5,85.7,
Sharks,8,18,2,1,2,75,
Reds,8,22,3,2,,66.7,1
Rebels,8,13,2,,1,33.3,
Lions,8,29,2,2,4,100,1
Jaguares,8,15,2,1,1,66.7,
Hurricanes,8,38,6,4,,57.1,
Crusaders,8,32,5,2,1,42.9,
Cheetahs,8,92,14,11,,78.6,
Bulls,8,41,5,5,2,100,
Brumbies,8,26,4,3,,75,
Blues,8,23,2,2,3,71.4,
Waratahs,9,49,6,5,3,88.9,
Sunwolves,9,36,3,3,5,88.9,
Stormers,9,40,4,4,4,100,
Sharks,9,15,,,5,100,
Reds,9,22,3,2,1,60,
Rebels,9,36,5,4,1,62.5,
Lions,9,45,7,5,,62.5,
Kings,9,10,2,,,,
Jaguares,9,28,4,1,2,50,
Hurricanes,9,27,4,2,,28.6,1
Highlanders,9,14,1,,3,50,
Force,9,13,1,1,2,75,
Crusaders,9,40,6,5,,83.3,
Chiefs,9,28,4,4,,100,
Cheetahs,9,14,2,2,,66.7,
Waratahs,10,32,4,3,2,62.5,
Stormers,10,30,3,3,3,75,
Sharks,10,22,3,2,1,60,
Reds,10,30,3,3,3,75,
Rebels,10,30,4,2,2,66.7,
Lions,10,17,3,1,,33.3,
Kings,10,27,4,2,1,60,
Jaguares,10,73,11,9,,81.8,
Hurricanes,10,50,7,6,1,87.5,
Highlanders,10,23,2,2,3,83.3,
Force,10,20,2,2,2,100,
Chiefs,10,24,2,1,4,71.4,
Cheetahs,10,17,2,2,1,100,
Bulls,10,42,5,4,3,87.5,
Brumbies,10,10,1,1,1,100,
Blues,10,36,6,3,,37.5,
Waratahs,11,21,2,1,3,80,
Sunwolves,11,22,4,1,,20,
Sharks,11,32,4,3,2,71.4,
Reds,11,5,1,,,,
Hurricanes,11,15,2,1,1,66.7,
Highlanders,11,26,3,1,3,66.7,
Force,11,40,6,5,,83.3,
Crusaders,11,38,6,4,,66.7,
Chiefs,11,13,2,,1,25,
Cheetahs,11,6,,,2,100,
