Team,Round,nrPasses,nrOffloads,passesTotal,kicksInPlay,carriesRuns,carriesMtrsMade,carriesNrTimesDefenceBeaten,carriesGainLine,carriesLinebreaks,carriesTkld,ballToRuckMaul,nrRuckInvolvement,ruckEff,ruckInEff,rcvs,turnOverInPos,PFinAttack,PFTotal,kickToPassPercentage,metresMadePerCarry,ballToRuckPerc,attackTotalPoss,turnOverConcededPerc
Sharks,10,99,7,106,32,73,259,10,20,4,60,54,92,17,109,36,14,2,14,32.32,3.5,73.97,45,31.11
Reds,10,94,5,103,19,74,317,16,25,5,65,55,210,38,248,29,13,3,12,20.21,4.3,74.32,39,33.33
Rebels,10,134,4,139,13,111,405,16,50,3,100,105,188,20,208,26,12,3,7,9.70,3.6,94.59,35,34.29
Lions,10,153,6,160,19,129,383,33,47,5,118,116,186,51,237,35,25,4,5,12.42,3.0,89.92,46,54.35
Kings,10,149,8,158,12,99,464,21,36,11,93,72,111,64,175,37,19,3,10,8.05,4.7,72.73,37,51.35
Jaguares,10,180,16,199,16,141,793,40,58,23,122,90,142,78,220,49,11,5,10,8.89,5.6,63.83,44,25.00
Hurricanes,10,114,10,125,27,79,500,19,27,9,59,48,73,31,104,40,17,3,8,23.68,6.3,60.76,48,35.42
Highlanders,10,79,6,85,28,64,234,12,24,6,49,39,88,17,105,28,13,1,12,35.44,3.7,60.94,38,34.21
Force,10,130,4,135,21,112,360,9,43,5,99,97,148,78,226,36,13,10,16,16.15,3.2,86.61,43,30.23
Chiefs,10,157,3,161,26,121,425,20,54,8,100,91,162,24,186,36,19,,8,16.56,3.5,75.21,51,37.25
Cheetahs,10,93,9,103,12,77,268,7,24,4,62,61,188,27,215,28,15,8,14,12.90,3.5,79.22,37,40.54
Bulls,10,129,10,140,21,94,332,18,37,7,79,75,112,40,152,42,16,3,10,16.28,3.5,79.79,42,38.10
Brumbies,10,192,4,198,21,159,289,13,61,3,146,148,301,37,338,34,13,5,9,10.94,1.8,93.08,46,28.26
Blues,10,124,4,131,13,80,379,27,47,6,79,70,106,25,131,19,9,3,12,10.48,4.7,87.50,30,30.00
Waratahs,11,131,9,140,31,90,349,14,29,4,82,67,101,72,173,35,16,1,7,23.66,3.9,74.44,46,34.78
Sunwolves,11,184,12,199,12,148,683,18,67,9,125,104,170,49,219,31,19,4,10,6.52,4.6,70.27,42,45.24
Sharks,11,139,11,154,33,117,559,22,45,10,99,86,146,49,195,56,17,4,7,23.74,4.8,73.50,60,28.33
