Team,Round,tacklesMade,tacklesMissed,tacklesPen,tackles1st,tacklesAssist,tackles1stPerc,tacklesMadePerc,contestSuccesDom,contestSuccesNeut,contestSuccesPass,contestSuccesDNPerc,defenceRuckMaul,defenceRucksEff,defenceRucksIneff,defenceRucksInv,defenceRucksTOFrc,lineOutStls,defenceScrumWins,defenceTOForced,defencePFAtt,defencePFDef,defencePFTotal,totalTackles,turnOversForced
Sharks,3,175,16,4,124,51,88.6,89.7,11,125,59,69.7,104,22,72,94,9,1,2,10,,,8,191,12
Reds,3,144,30,4,109,35,78.4,80.9,8,102,68,61.8,96,21,51,72,5,1,,6,,,10,174,6
Rebels,3,107,15,1,83,24,84.7,87,7,80,36,70.7,80,9,39,48,4,,1,4,,,5,122,5
Lions,3,69,14,,60,9,81.1,83.1,9,32,42,49.4,45,8,7,15,8,1,1,9,,,1,83,10
Kings,3,112,29,4,88,24,75.2,77.2,8,60,77,46.9,74,20,19,39,8,,,8,,,7,141,8
Hurricanes,3,195,36,1,149,46,80.5,84.1,14,94,124,46.6,128,66,19,85,11,,,11,,,9,231,11
Highlanders,3,168,25,2,138,30,84.7,86.2,17,106,72,63.1,121,47,8,55,6,1,4,7,,,10,193,11
Chiefs,3,83,12,3,70,13,85.4,84.7,10,41,47,52,65,32,14,46,7,,,7,,,13,95,7
Cheetahs,3,95,19,1,81,14,81,82.6,5,66,44,61.7,60,9,32,41,6,1,1,7,,,5,114,8
Brumbies,3,113,18,1,91,22,83.5,85.6,10,72,50,62.1,88,36,24,60,7,2,2,9,,,8,131,11
Blues,3,125,16,1,86,39,84.3,88,8,82,52,63.4,79,36,12,48,4,1,,5,,,7,141,5
Western Force,4,153,35,1,125,28,78.1,81,10,75,104,45,101,26,20,46,7,1,,8,,,6,188,8
Waratahs,4,65,18,,61,4,77.2,78.3,10,39,34,59,47,23,15,38,6,,1,6,,,2,83,7
Sunwolves,4,126,28,3,81,45,74.3,80.3,4,102,51,67.5,69,14,17,31,3,,,3,,,9,154,3
Stormers,4,95,23,1,72,23,75.8,79.8,11,65,43,63.9,57,13,31,44,4,2,2,6,,,4,118,8
Sharks,4,110,21,3,92,18,81.4,82.1,14,85,35,73.9,83,7,27,34,13,1,,14,,,9,131,14
Reds,4,126,11,1,107,19,90.7,91.3,7,72,59,57.2,96,49,1,50,5,,1,5,,,5,137,6
Rebels,4,124,11,1,94,30,89.5,91.2,5,103,28,79.4,89,18,24,42,6,3,1,9,,,3,135,10
Lions,4,102,14,3,80,22,85.1,85.7,14,61,44,63,73,23,10,33,11,2,3,13,,,9,116,16
Kings,4,77,22,,65,12,74.7,77.8,,40,59,40.4,47,11,8,19,2,1,,3,,,5,99,3
Jaguares,4,124,18,2,99,25,84.6,86.1,4,80,60,58.3,71,21,32,53,7,,1,7,,,8,142,8
Hurricanes,4,99,15,2,84,15,84.8,85.3,9,60,47,59.5,83,26,17,43,10,,,10,,,7,114,10
