Team,Round,triesFromOwnLO,triesFromOwnScrum,triesFrom50mRecpt,triesFrom22mRecpt,triesTotalFromStructured,triesFromKickRecpt,triesFromTap,triesFromPenFreeKick,triesFromUTO,triesFromOppLO,triesFromOppScrum,triesFromOppRestart,triesFromOther,triesTotalFromUnstructured,triesTotal,triesFromAttack,triesFromTurnOvers
Lions,9,4,2,,,6,,,,1,,,,,1,7,6,1
Kings,9,,,,1,1,,,,1,,,,,1,2,1,1
Jaguares,9,3,,,,3,,,,1,,,,,1,4,3,1
Hurricanes,9,,1,,,1,,,,2,,1,,,3,4,1,3
Highlanders,9,1,,,,1,,,,,,,,,,1,1,0
Force,9,1,,,,1,,,,,,,,,,1,1,0
Crusaders,9,1,1,,,2,1,,,2,1,,,,4,6,3,3
Chiefs,9,2,,,,2,1,,,1,,,,,2,4,3,1
Cheetahs,9,2,,,,2,,,,,,,,,,2,2,0
Brumbies,9,1,,,,1,,1,,,,,,,1,2,2,0
Waratahs,10,2,,,,2,1,,,,,1,,,2,4,3,1
Stormers,10,2,,,,2,,1,,,,,,,1,3,3,0
Sharks,10,3,,,,3,,,,,,,,,,3,3,0
Reds,10,,2,,,2,,,,,,1,,,1,3,2,1
Rebels,10,2,,,,2,,,,2,,,,,2,4,2,2
Lions,10,2,,,,2,1,,,,,,,,1,3,3,0
Kings,10,2,1,,,3,,,,1,,,,,1,4,3,1
Jaguares,10,4,2,,,6,2,,,3,,,,,5,11,8,3
Hurricanes,10,1,2,,,3,,,,4,,,,,4,7,3,4
Highlanders,10,,2,,,2,,,,,,,,,,2,2,0
Force,10,1,,,,1,,,,1,,,,,1,2,1,1
Chiefs,10,1,1,,,2,,,,,,,,,,2,2,0
Cheetahs,10,2,,,,2,,,,,,,,,,2,2,0
Bulls,10,3,,,,3,1,,,,,,1,,2,5,5,0
Brumbies,10,1,,,,1,,,,,,,,,,1,1,0
Blues,10,3,2,,,5,,,,,,,1,,1,6,6,0
Waratahs,11,,2,,,2,,,,,,,,,,2,2,0
Sunwolves,11,1,2,,,3,1,,,,,,,,1,4,4,0
Sharks,11,,1,,,1,,1,,2,,,,,3,4,2,2
Reds,11,,1,,,1,,,,,,,,,,1,1,0
Hurricanes,11,,1,,,1,1,,,,,,,,1,2,2,0
Highlanders,11,,2,,,2,,,,1,,,,,1,3,2,1
Force,11,1,2,,,3,1,,,2,,,,,3,6,4,2
Crusaders,11,3,2,,,5,,1,,,,,,,1,6,6,0
Chiefs,11,,1,,,1,,1,,,,,,,1,2,2,0
Brumbies,11,1,,,,1,,1,,,,,,,1,2,2,0
Kings,11,1,1,,,2,,,,,,,,,,2,2,0
Blues,11,3,,,,3,,1,,,,1,,,2,5,4,1
Waratahs,12,,1,,1,2,1,1,,,,,,,2,4,4,0
Sunwolves,12,,1,,,1,,,,,,,,,,1,1,0
Stormers,12,1,,,,1,,,,1,,,,,1,2,1,1
Sharks,12,1,,,,1,,,,,,,,,,1,1,0
Reds,12,1,,,,1,,,,,,,,,,1,1,0
Rebels,12,2,,,1,3,,,,,,,,,,3,3,0
Lions,12,3,1,,,4,,,,2,1,,,,3,7,4,3
Jaguares,12,,1,,,1,1,,,1,,,,,2,3,2,1
Hurricanes,12,1,2,,,3,,,,2,,,,,2,5,3,2
Highlanders,12,2,,,,2,2,1,,,,,,,3,5,5,0
Crusaders,12,,,,,,1,1,,,,,,,2,2,2,0
Bulls,12,1,,,,1,,,,,,,,,,1,1,0
Brumbies,12,4,,,,4,1,,,,,,,,1,5,5,0
Blues,12,,1,,,1,,,,,,,,,,1,1,0
